glohydrores_id,hybas_id,project_name,ibt_source,ibt_id,ibt_flow_direction,ibt_from,ibt_to,ibt_status,ibt_startyear,ibt_minflow,ibt_maxflow,ibt_meanflow,ibt_lengthoftransfer,ibt_link,ibt_comment
GHR02350,4110472930,Wanjiazhai Water Transfer Project,GlobalInterBasinHydrologicalDatabase,1,Outflow,Yellow R. - Wanjiazhai Dam,Taiyum City - Fenhe Reservoir,Completed,2005,,3832990.848,,,Hydropower and IBT project share reservoir,
GHR03374,4111150880,Parambikulam Aliyar Project - West to East Combined,GlobalInterBasinHydrologicalDatabase,40,Outflow,Multiple Reservoirs ,Aliyar Reservoir,Completed,1965,,2325818.88,,,The reservoir receives water from the Aliyar River and supplies it through two canals,https://parambikulam.in/about-parambikulam/parambikulam-aliyar-project/
GHR03376,4111097610,"NRLP, Peninsular Components, Krishna-Pennar Link - 5 - SPLIT",GlobalInterBasinHydrologicalDatabase,82,Outflow,"Almatti Dam, Krishna R. (upper)",Tungabhadra Reservoir,Proposed,2050,,5420944.224,,552,Hydropower and IBT project share reservoir,
GHR03433,4111108430,"NRLP, Peninsular Components, Krishna-Pennar Link - 5 - SPLIT",GlobalInterBasinHydrologicalDatabase,114,Outflow,Tungabhadra Reservoir,Pennar River,Proposed,2050,,5420944.224,,,The reservoir receives water from another IBT project and supplies it to this projec,
GHR03441,4111120560,"NRLP, Peninsular Components, Bedti-Varda Link - 14",GlobalInterBasinHydrologicalDatabase,94,Outflow,Bedti,Varda,Proposed,2050,,662560.128,,,Hydropower and IBT project share reservoir,
GHR03481,4111120560,"NRLP, Peninsular Components, Bedti-Varda Link - 14",GlobalInterBasinHydrologicalDatabase,94,Outflow,Bedti,Varda,Proposed,2050,,662560.128,,,Hydropower and IBT project share reservoir,
GHR03504,4111108430,"NRLP, Peninsular Components, Krishna-Pennar Link - 5 - SPLIT",GlobalInterBasinHydrologicalDatabase,114,Outflow,Tungabhadra Reservoir,Pennar River,Proposed,2050,,5420944.224,,,Hydropower and IBT project share reservoir,
GHR03518,4111001440,Narmada-Kshipra Link,GlobalInterBasinHydrologicalDatabase,123,Outflow,Narmada R.,Kshipra (Shipra) R.,Completed,2014,,432000,,,Hydropower and IBT project share reservoir,
GHR03557,4111151410,Parambikulam Aliyar Project - Northwest Combined,GlobalInterBasinHydrologicalDatabase,41,,Aliyar Reservoir,Northwest,Completed,1965,,232581.888,,,,
GHR03563,4111120560,"NRLP, Peninsular Components, Bedti-Varda Link - 14",GlobalInterBasinHydrologicalDatabase,94,,Bedti,Varda,Proposed,2050,,662560.128,,,The hydropower system is located downstream of the IBT project and may be affected by it.,
GHR03564,4111120560,"NRLP, Peninsular Components, Bedti-Varda Link - 14",GlobalInterBasinHydrologicalDatabase,94,,Bedti,Varda,Proposed,2050,,662560.128,,,The hydropower system is located downstream of the IBT project and may be affected by it.,
GHR03567,4111598440,Parambikulam Aliyar Project - West to East Combined,GlobalInterBasinHydrologicalDatabase,40,,Multiple Reservoirs ,Aliyar Reservoir,Completed,1965,,2325818.88,,,,
GHR03571,4111099710,Teluga Ganga Project,GlobalInterBasinHydrologicalDatabase,45,Outflow,Krishna R. in Andhra Pradesh (Srisailam Dam),Somasila Reservoir,Completed,2004,,5848049.664,,434,Hydropower and IBT project share reservoir,
GHR03572,4111099710,Teluga Ganga Project,GlobalInterBasinHydrologicalDatabase,45,Outflow,Krishna R. in Andhra Pradesh (Srisailam Dam),Somasila Reservoir,Completed,2004,,5848049.664,,434,Hydropower and IBT project share reservoir,
GHR03577,4111108430,"NRLP, Peninsular Components, Krishna-Pennar Link - 5 - SPLIT",GlobalInterBasinHydrologicalDatabase,114,Outflow,Tungabhadra Reservoir,Pennar River,Proposed,2050,,5420944.224,,,Hydropower and IBT project share reservoir,
GHR03578,4111450230,"NRLP, Himalayan Component, Sarda-Yamuna Link - 5",GlobalInterBasinHydrologicalDatabase,67,Outflow,Sarda River near Nepal border,Yamuna River,Proposed,2050,,172800000000,,,The IBT takes water near the location of the hydropower system and supplies it to another project.,
GHR03581,4111483540,"NRLP, Himalayan Component, Manas-Ganga Link - 10b",GlobalInterBasinHydrologicalDatabase,73,,Tista River,Ganga River,Proposed,2050,,172800000000,,,,
GHR03594,4111546370,"NRLP, Peninsular Components, Par-Narmada Link - 12a",GlobalInterBasinHydrologicalDatabase,91,Inflow,Par River,Tapi (Ukal Reservoir),Proposed,2050,,3696098.688,,395,"The IBT supplies water to the Ukal Reservoir, which is also used by the hydropower system.",
GHR03595,4111546370,"NRLP, Peninsular Components, Par-Narmada Link - 12a",GlobalInterBasinHydrologicalDatabase,91,Inflow,Par River,Tapi (Ukal Reservoir),Proposed,2050,,3696098.688,,395,"The IBT supplies water to the Ukal Reservoir, which is also used by the hydropower system.",
GHR04072,4111075260,Nam Theun II,GlobalInterBasinHydrologicalDatabase,104,Outflow,Nam Theun R. (Mekong tributary) (Nam Theun 2 Dam - NT2),Xe Bang Fai R. (Mekong),Completed,2010,,19008000,,27,Hydropower and IBT project share reservoir,
GHR05697,4111157480,Mahaweli Ganga Project - to Kala Oye River,GlobalInterBasinHydrologicalDatabase,1019,Inflow/Outflow,Maheweli Basin,Kala Oye River,Completed,1977,,2464065.792,,,,https://en.wikipedia.org/wiki/Bowatenna_Dam
GHR05707,4111157260,Mahaweli Ganga Project - to Yan Oye River,GlobalInterBasinHydrologicalDatabase,1163,,Maheweli Basin,Yan Oye River,Completed,1977,,2464065.792,,,,https://en.wikipedia.org/wiki/Moragahakanda_Dam
GHR02046,4111319160,Wanjiazhai Water Transfer Project,GlobalInterBasinHydrologicalDatabase,1,Indirect,Yellow R. - Wanjiazhai Dam,Taiyum City - Fenhe Reservoir,Completed,2005,,3832990.848,,,The hydropower system is located downstream of the IBT project and may be affected by it.,
GHR01806,4110743530,South-North Transfer - Middle Route Scheme - Three Gorges to Danjiangkou Reservoir,GlobalInterBasinHydrologicalDatabase,26,Indirect,Three Gorges Dam,Danjiangkou Reservoir,Completed,2015,,34560000,,,The hydropower system is located downstream of the IBT project and may be affected by it.,
GHR03436,4111151930,Parambikulam Aliyar Project - West to East Combined,GlobalInterBasinHydrologicalDatabase,40,Outflow,Multiple Reservoirs ,Aliyar Reservoir,Completed,1965,,2325818.88,,,Hydropower and IBT project share reservoir,
GHR03508,4111098200,"NRLP, Peninsular Components, Krishna-Pennar Link - 5 - SPLIT",GlobalInterBasinHydrologicalDatabase,82,Indirect,"Almatti Dam, Krishna R. (upper)",Tungabhadra Reservoir,Proposed,2050,,5420944.224,,552,The hydropower system is located downstream of the IBT project and may be affected by it.,
GHR03506,4111093970,Teluga Ganga Project,GlobalInterBasinHydrologicalDatabase,45,Indirect,Krishna R. in Andhra Pradesh (Srisailam Dam),Somasila Reservoir,Completed,2004,,5848049.664,,434,The hydropower system is located downstream of the IBT project and may be affected by it.,
GHR03514,4111093970,Teluga Ganga Project,GlobalInterBasinHydrologicalDatabase,45,Indirect,Krishna R. in Andhra Pradesh (Srisailam Dam),Somasila Reservoir,Completed,2004,,5848049.664,,434,The hydropower system is located downstream of the IBT project and may be affected by it.,
GHR03515,4111093970,Teluga Ganga Project,GlobalInterBasinHydrologicalDatabase,45,Indirect,Krishna R. in Andhra Pradesh (Srisailam Dam),Somasila Reservoir,Completed,2004,,5848049.664,,434,The hydropower system is located downstream of the IBT project and may be affected by it.,
GHR00138,5110604930,Snowy Mountains Scheme - Jindabyne to Murray,GlobalInterBasinHydrologicalDatabase,1028,Outflow,Jindabyne,Swampy Plaibs River (Murray River trib),Completed,1974,,2874743.136,,,"Guthega Dam supplies water to Jindabyne as part of the IBT (Inter Basin Transfer) scheme. Therefore, the flow of water can be regulated directly from Guthega Dam.",https://www.snowyhydro.com.au/wp-content/uploads/2020/09/The-Snowy-Scheme-developments_Snowy-Murray-development_Fact-sheet-2_NOV2020.pdf
GHR00156,5110604620,Snowy Mountains Scheme - Jindabyne to Murray,GlobalInterBasinHydrologicalDatabase,1028,Inflow/Outflow,Jindabyne,Swampy Plaibs River (Murray River trib),Completed,1974,,2874743.136,,,"Water from the Jindabyne Reservoir is pumped to the Geehi Reservoir as part of the IBT (Inter Basin Transfer) project, serving both electricity generation and irrigation purposes.",https://en.wikipedia.org/wiki/Snowy_Mountains_Scheme & dados.ons.org.br/dataset/
GHR00157,5110604680,Snowy Mountains Scheme - Jindabyne to Murray,GlobalInterBasinHydrologicalDatabase,1028,Inflow/Outflow,Jindabyne,Swampy Plaibs River (Murray River trib),Completed,1974,,2874743.136,,,"Water from the Jindabyne Reservoir is pumped to the Geehi Reservoir as part of the IBT (Inter Basin Transfer) project, serving both electricity generation and irrigation purposes.",https://en.wikipedia.org/wiki/Snowy_Mountains_Scheme & dados.ons.org.br/dataset/
GHR00171,5110828420,Snowy Mountains Scheme - Tumut River,GlobalInterBasinHydrologicalDatabase,1029,Inflow/Outflow,,,Completed,1974,,2874743.136,,,"Not sure — is the water transferred from Eucumbene, or is it transferred to Eucumbene?",https://en.wikipedia.org/wiki/Snowy_Mountains_Scheme
GHR00172,5110828420,Snowy Mountains Scheme - Tumut River,GlobalInterBasinHydrologicalDatabase,1029,Inflow/Outflow,,,Completed,1974,,2874743.136,,,"Not sure — is the water transferred from Eucumbene, or is it transferred to Eucumbene?",https://en.wikipedia.org/wiki/Snowy_Mountains_Scheme
GHR00173,5110600760,Snowy Mountains Scheme - Tumut River,GlobalInterBasinHydrologicalDatabase,1029,Indirect,,,Completed,1974,,2874743.136,,,"Located downstream of the IBT project, electricity generation can be impacted by the operation of the IBT.",
GHR00141,5110827230,Snowy Mountains Scheme - Tumut River,GlobalInterBasinHydrologicalDatabase,1029,Indirect,,,Completed,1974,,2874743.136,,,"Located downstream of the IBT project, electricity generation can be impacted by the operation of the IBT.",
GHR04033,3110676610,Trans-Kazakhstan Canal,GlobalInterBasinHydrologicalDatabase,118,Outflow,Reservoir near Shulbinsk,"Near Sagynbay, Kazakhstan",Proposed,2020,,172800000000,,,Hydropower and IBT share reservoir,
GHR04034,3110686880,Trans-Kazakhstan Canal,GlobalInterBasinHydrologicalDatabase,118,Indirect,Reservoir near Shulbinsk,"Near Sagynbay, Kazakhstan",Proposed,2020,,172800000000,,,"The IBT is located downstream of the hydropower system, meaning water releases—and consequently electricity generation—can be affected by the water demand of the IBT project.",
GHR02400,3110994130,Kara Irtysh-Karamay Canal,GlobalInterBasinHydrologicalDatabase,116,Indirect,Black Irtysh,"Ulungar River, China",Completed,1999,,2190280.608,,,"The IBT is located downstream of the hydropower system, meaning water releases—and consequently electricity generation—can be affected by the water demand of the IBT project.",https://en.wikipedia.org/wiki/Irtysh%E2%80%93Karamay%E2%80%93%C3%9Cr%C3%BCmqi_Canal
GHR00667,6111142550,Sao Francisco Project - East Route 2,GlobalInterBasinHydrologicalDatabase,1173,Outflow,Sao Francisco River - Itaparica Reservoir,Unknown River to east,Proposed,2025,,2419200,,,Reservoir shared between hydropower and IBT project. The project will draw water from the reservoir to supply it to another river.,
GHR00412,6110464410,Sao Francisco Project - East Route 2,GlobalInterBasinHydrologicalDatabase,1173,Indirect,Sao Francisco River - Itaparica Reservoir,Unknown River to east,Proposed,2025,,2419200,,,"The hydropower facility upstream of this is impacted by the IBT, so it is likely that this one is affected as well.",
GHR00739,6110464410,Sao Francisco Project - East Route 2,GlobalInterBasinHydrologicalDatabase,1173,Indirect,Sao Francisco River - Itaparica Reservoir,Unknown River to east,Proposed,2025,,2419200,,,"The hydropower facility upstream of this is impacted by the IBT, so it is likely that this one is affected as well.",
GHR00742,6110464880,Sao Francisco Project - East Route 2,GlobalInterBasinHydrologicalDatabase,1173,Indirect,Sao Francisco River - Itaparica Reservoir,Unknown River to east,Proposed,2025,,2419200,,,"The hydropower facility upstream of this is impacted by the IBT, so it is likely that this one is affected as well.",
GHR00891,6110464720,Sao Francisco Project - North Route 1,GlobalInterBasinHydrologicalDatabase,1169,Outflow,Sao Francisco River near Cabrobo,Paranhas R.,Under Construction,2025,,8553600,,400,"Downstream of the hydropower project is the IBT project, which supplies water for domestic consumption.",https://www.researchgate.net/publication/267810074_The_Sao_Francisco_Transboundary_Project_Regulation_and_Sustainability
GHR01120,7111036220,Welland Canal,Siddik et al. 2023,WC.ON.01,Inflow/Outflow,Lake Erie,Lake Ontario,Completed,1951,,,20649600,,"Lake Gibson, the reservoir for the Decew Falls 1 hydropower facility, is supplied with wastewater from the Welland Canal.",https://markcsele.ca/history/decew-falls-generating-station/
GHR01121,7111036220,Welland Canal,Siddik et al. 2023,WC.ON.01,Inflow/Outflow,Lake Erie,Lake Ontario,Completed,1951,,,20649600,,"Lake Gibson, the reservoir for the Decew Falls 1 hydropower facility, is supplied with wastewater from the Welland Canal.",https://markcsele.ca/history/decew-falls-generating-station/
GHR01169,7110063050,Bay d'Espoir,Siddik et al. 2023,BDE.NL.01,Inflow/Outflow,"Victoria, White Bear",NW Brook,Completed,1969,,,15984000,,Recives water from  Bay d'Espoir Canal,https://www.gov.nl.ca/ecc/files/env-assessment-projects-y2015-1803-1803-registration.pdf#page=17.07
GHR01182,7111036220,Welland Canal,Siddik et al. 2023,WC.ON.01,Inflow/Outflow,Lake Erie,Lake Ontario,Completed,1951,,,20649600,,Located on Welland Canal,https://www.ontarioriversalliance.ca/heywood-generating-station-twelve-mile-creek/
GHR01238,7110016300,Coquitlam  Channel,Siddik et al. 2023,CQC.BC.01,Inflow,Coquitlam Lake,Buntzen Lake,Completed,1912,,,2419200,,"It receives water from the Coquitlam Channel, which is connected to the Coquitlam Dam",https://www.bchydro.com/energy-in-bc/projects/coquitlam-tunnel.html
GHR01239,7110016300,Coquitlam  Channel,Siddik et al. 2023,CQC.BC.01,Inflow,Coquitlam Lake,Buntzen Lake,Completed,1912,,,2419200,,"It receives water from the Coquitlam Channel, which is connected to the Coquitlam Dam",https://www.bchydro.com/energy-in-bc/projects/coquitlam-tunnel.html
GHR01491,7110326980,Bay d'Espoir,Siddik et al. 2023,BDE.NL.01,Inflow/Outflow,"Victoria, White Bear",NW Brook,Completed,1969,,,15984000,,Recives water from  Bay d'Espoir Canal,https://www.gov.nl.ca/ecc/files/env-assessment-projects-y2015-1803-1803-registration.pdf#page=17.07
GHR01509,7111036180,Welland Canal,Siddik et al. 2023,WC.ON.01,,Lake Erie,Lake Ontario,Completed,1951,,,20649600,,,
GHR06342,7111125100,California Aqueduct - Cross Valley Canal,Siddik et al. 2023,CA.CA.07,Inflow/Outflow,Cross Valley Canal Diversion Point, California Aqueduct Diversion Point,Completed,1960,,,3775864,,Part of the East Branch of the California Aqueduct,https://en.wikipedia.org/wiki/California_Aqueduct
GHR06368,7111051640,Schoharie Aqueduct,Siddik et al. 2023,CA.NY.03,Outflow,Catskill Aqueduct (Ashokan Reservoir),Delaware Aqueduct (Hillview reservoir),Completed,1944,,,1355177.424,,Both hydropower and IBT share reservoir,https://www.nyc.gov/site/dep/water/ashokan-reservoir.page
GHR06380,7110609210,Barkley Canal,Siddik et al. 2023,BC.KY.01,Outflow,Lake Barkley,Kentucky Lake,Completed,,,,-17870929.11,,Canal connecting Lake Barkley with Kentucky Lake,https://www.kentuckylake.com/lake-barkley/
GHR06385,7110465340,Erie Canal,Siddik et al. 2023,ER.NY.02,,Old Champlain Canal,Oneida Lake,Completed,1825,,,738155.301,,,
GHR06423,7110450300,Black River Canal,Siddik et al. 2023,BRC.NY.03,,Lateral Canal,Black River,Completed,1855,,,,,,
GHR06429,7111040710,King Hill Main Canal,Siddik et al. 2023,KHMC.ID.04,,Snake River,Snake River,Completed,1908,,,,,,
GHR06476,7111127650,Salt River Project-C. C. Cragin Project Pipeline,Siddik et al. 2023,SRPCPP.AZ.01,Inflow,CC Cragin Reservoir,East Verde River,Completed,1903,,,21955.38844,,,https://www.srpnet.com/grid-water-management/water-management/lakes/cc-cragin-reservoir
GHR06485,7111090830,Mokelumne Aqueduct,Siddik et al. 2023,MA.CA.01,Inflow/Outflow,Pardee Reservoir,Walnut Creek,Completed,1929,,,1230258.835,,,https://www.ebmud.com/download_file/force/37659/3409?System_Operations__Hydro_Gen_Overview.pdf
GHR06501,7111127420,West Branch California Aqueduct,Siddik et al. 2023,WBCA.CA.04,Inflow/Outflow,Pyramid Lake Diversion Point 1,Pyramid Lake Diversion Point 2,Completed,1960,,,,,,https://en.wikipedia.org/wiki/Castaic_Lake
GHR06516,7111002220,Kennewick Irrigation District - Main Canal,Siddik et al. 2023,KMC.WA.01,Outflow,Yakima River,Pipeline near Anne Wasteway,Completed,1950,,,348257.8856,,,https://www.usbr.gov/newsroom/newsroomold/newsrelease/detail.cfm?RecordID=29221
GHR06551,7111057810,Loup River Canal,Siddik et al. 2023,LRC.NE.01,,Loup River Canal - Diversion,Lake Babcock,Completed,,,,3963326.155,,,https://en.wikipedia.org/wiki/Loup_Canal
GHR06555,7110549110,Conowingo Pool-Montebello Lake,Siddik et al. 2023,CPML.PA.01,,Conowingo Pool,Lake Montebello,Completed,,,,946352.95,,,https://www.baltimorecity.gov/sites/default/files/2006_CompW%26WWplan.pdf#page=7.14
GHR06569,7110471140,Erie Canal,Siddik et al. 2023,ER.NY.02,,Old Champlain Canal,Oneida Lake,Completed,1825,,,738155.301,,,
GHR06572,7110693700,Salt River Project - Grand Canal,Siddik et al. 2023,SRPGC.AZ.01,,Arizona Cross Cut Canal,Grand Canal Lateral 1,Completed,1903,,,,,,https://www.tempe.gov/Home/Components/FacilityDirectory/FacilityDirectory/324/2856?npage=2&sortn=FCPhone&sortd=asc
GHR06582,7110479890,MWRA Aqueducts - Weston Aqueduct,Siddik et al. 2023,WA1.MA.01,Inflow/Outflow,Wachusett Reservoir,Sudbury Reservoir Intake,Completed,,,,757082.36,,"Water flows from the Quabbin Reservoir into the Cosgrove Aqueduct.





Water flows from the Quabbin Reservoir into the Cosgrove Aqueduct.",https://www3.epa.gov/region1/npdes/hydrogp/noi/2023/cosgrove-mag360001.pdf
GHR06587,7110494640,Delaware Aqueduct,Siddik et al. 2023,DLA.NY.01,,Delaware Aqueduct (Rondout Reservoir),Delaware Aqueduct (Kensico Reservoir),Completed,1944,,,2392380.258,,,
GHR06604,7111135100,North Texas MWD Wylie WTP - Lake Texoma 1,Siddik et al. 2023,NTLT1.TX.01,Outflow,Intake 4 - Lake Texoma,SWTP 3,Completed,,,,,,,https://www.twdb.texas.gov/waterplanning/rwp/regions/C/doc/studycommission/RegionCStudy/Appendix_B_Literature_Abstracts.pdf
GHR06607,7110679250,East Branch Extension California Aqueduct,Siddik et al. 2023,EBCA.CA.03,,Silverwood Lake Diversion Point 2, East Branch California Aqueduct Diversion Point 1,Completed,1960,,,2642301,,,https://devil-canyon-project-relicensing.com/
GHR06619,7110465340,Erie Canal,Siddik et al. 2023,ER.NY.02,,Old Champlain Canal,Oneida Lake,Completed,1825,,,738155.301,,"Water from West Canada Creek flows into the Mohawk River, which serves as the main water source for the Erie Canal.",https://en.wikipedia.org/wiki/Mohawk_River
GHR06620,7111096300,Hetch Hetchy Aqueduct - Calaveras Reservoir,Siddik et al. 2023,HHA.CA.04,,Moccasin Reservoir and Powerhouse,San Antonio Reservoir,Completed,1934,,,,,Both Don Pedro and Hetch Hetchy Aqueduct rely on water from Tuolumne River Basin,https://ww2.kqed.org/climatewatch/2011/06/10/an-assault-on-hetch-hetchy-dam-from-the-flank/
GHR06624,7111145130,All American Canal,Siddik et al. 2023,AAC.CA.03,Inflow/Outflow,All American Canal Diversion Point 2,All American Canal Diversion Point 3,Completed,1942,,,,,,https://www.usbr.gov/projects/index.php?id=514
GHR06626,7111145600,All American Canal,Siddik et al. 2023,AAC.CA.07,Inflow/Outflow,Coachella Canal Diversion Point,Warren H. Brock Storage Reservoir,Completed,1942,,,,,,https://www.usbr.gov/projects/index.php?id=514
GHR06627,7111145130,All American Canal,Siddik et al. 2023,AAC.CA.06,Inflow/Outflow,All American Canal Diversion Point 3,Coachella Canal Diversion Point,Completed,1942,,,12159480,,,https://www.usbr.gov/projects/index.php?id=514
GHR06628,7111145130,All American Canal,Siddik et al. 2023,AAC.CA.06,Inflow/Outflow,All American Canal Diversion Point 3,Coachella Canal Diversion Point,Completed,1942,,,12159480,,,https://www.usbr.gov/projects/index.php?id=514
GHR06647,7110705230,All American Canal - Mesa 6 Drain,Siddik et al. 2023,AAC.CA.09,Inflow/Outflow,All American Canal Diversion Point 4,Mesa Lateral 5,Completed,,,,,,Water is drawn from the All-American Canal and diverted into the East Highline Canal for irrigation purposes in the region.,https://en.wikipedia.org/wiki/All-American_Canal
GHR06662,7111090390,Mokelumne Aqueduct,Siddik et al. 2023,MA.CA.01,Indirect,Pardee Reservoir,Walnut Creek,Completed,1929,,,1230258.835,,"Both the hydropower system and the aqueduct are supplied by the same source, the Mokelumne River.",
GHR06667,7111000700,Eltopia Washington Aqueduct,Siddik et al. 2023,EWA.WA.01,,Columbia River,Eltopia Washington Aqueduct Source near Pfister's Airport,Completed,,,,,,May share same source of water,
GHR06675,7110529740,CBT Alva B Adams Tunnel,Siddik et al. 2023,CABAT.CO.03,Inflow,Grand Lake,Marys Lake,Completed,1900,,,,,"After exiting the Alva B. Adams Tunnel, the water flows into the Estes Power Plant near Lake Estes.",https://en.wikipedia.org/wiki/Colorado%E2%80%93Big_Thompson_Project
GHR06704,7111086820,Folsom South Canal,Siddik et al. 2023,FSC.CA.01,Outflow,American River,Folsom South Canal Diversion Point,Completed,1973,,,651090.8296,,Water flows from Folsom Lake to the Folsom South Canal,https://www.parks.ca.gov/?page_id=22909
GHR06710,7110678300,Los Angeles Aqueducts,Siddik et al. 2023,LAA.CA.10,Inflow/Outflow,Fairmont Reservoir,LAA Reservoir,Completed,1913,,,,,,https://en.wikipedia.org/wiki/Los_Angeles_Aqueduct
GHR06715,7110453040,Black River Canal,Siddik et al. 2023,BRC.NY.02,,Delta Reservoir,Lateral Canal,Completed,1855,,,,,Both depend on water from Black River Canal,
GHR06719,7110462630,Champlain Canal,Siddik et al. 2023,CC.NY.01,Indirect,Champlain Canal (Champlain Lake),Champlain Canal (Hudson river),Completed,1823,,,196841.4136,,"Both rely on water from the Hudson River. The hydropower facility is located close to the canal, which influences the water supply to the plant.",https://discovertheeriecanal.com/champlain-canal/
GHR06721,7110332430,FORT PECK  TOWN OF Channel,Siddik et al. 2023,FPTC.MT.01,,FORT PECK  TOWN OF Intake,FORT PECK  TOWN OF Treatment Plant,Completed,,,,,,,https://en.wikipedia.org/wiki/Fort_Peck_Dam
GHR06729,7110614190,FRIANT-KERN CANAL,Siddik et al. 2023,FKC.CA.01,Outflow,Millerton Lake,California Aqueduct,Completed,1951,,,3550716.268,,Water from Friant Dam is directed into the Friant-Kern Canal.,https://www.usbr.gov/projects/index.php?id=133
GHR06736,7111107500,Blackwater-Lake Prince Diversion,Siddik et al. 2023,LGP.VA.01,,Lake Gaston,Lake Prince Tributary,Completed,2007,,,95741.4336,,The Lake Gaston Water Supply Pipeline delivers water from Lake Gaston to Lake Prince.,
